Model,Category,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,Classical ML,0.9557,0.9347,0.9871,0.9602,0.9868
Extra Trees,Classical ML,0.9487,0.9339,0.9741,0.9536,0.9905
Stacked Hybrid,Hybrid Ensemble,0.9487,0.9303,0.9784,0.9538,0.9789
XGBoost,Classical ML,0.9464,0.9336,0.9698,0.9514,0.9819
Decision Tree,Classical ML,0.9464,0.9447,0.9569,0.9507,0.9455
Weighted Average,Hybrid Ensemble,0.9464,0.9336,0.9698,0.9514,0.9738
XGBoost Only,Hybrid Ensemble,0.9464,0.9336,0.9698,0.9514,0.9819
Gradient Boosting,Classical ML,0.9161,0.905,0.944,0.9241,0.9673
DL Only (BatchNormNet),Hybrid Ensemble,0.8998,0.9056,0.9095,0.9075,0.9415
BatchNormNet,Deep Learning,0.8998,0.9056,0.9095,0.9075,0.9415
DeepANN,Deep Learning,0.8858,0.8961,0.8922,0.8942,0.9432
SVM (RBF),Classical ML,0.8788,0.8689,0.9138,0.8908,0.9306
ANN,Deep Learning,0.8765,0.8874,0.8836,0.8855,0.944
AdaBoost,Classical ML,0.8671,0.8661,0.8922,0.879,0.9321
K-NN,Classical ML,0.8648,0.8625,0.8922,0.8771,0.9268
WideNet,Deep Learning,0.8531,0.8565,0.875,0.8657,0.919
Logistic Regression,Classical ML,0.8438,0.8452,0.8707,0.8577,0.9092
HighDropout,Deep Learning,0.8415,0.8565,0.8491,0.8528,0.8974
Naive Bayes,Classical ML,0.8345,0.8643,0.8233,0.8433,0.9027
CombinedNet,Deep Learning,0.8345,0.8061,0.9138,0.8566,0.9076
VeryDeepNet,Deep Learning,0.8345,0.8368,0.8621,0.8493,0.916
ResidualNet,Deep Learning,0.8298,0.8299,0.8621,0.8457,0.9068
DropoutNet,Deep Learning,0.8089,0.8049,0.8534,0.8285,0.8905
NarrowNet,Deep Learning,0.7576,0.8077,0.7241,0.7636,0.8321
